epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,833.257,1.58413,2.35188,1.43042,0.60501,0.25484,0.26607,0.14776,1.57826,2.58312,1.73051,0.0670063,0.00033327,0.00033327
2,1640.23,1.47669,1.81982,1.3722,0.59419,0.35731,0.37198,0.22183,1.41613,2.00152,1.53071,0.0340045,0.000664796,0.000664796
3,2442.21,1.42631,1.64186,1.33986,0.66696,0.38667,0.41371,0.25264,1.39316,1.81102,1.5281,0.000995453,0.00098912,0.00098912
4,3245.72,1.38948,1.5307,1.31317,0.70074,0.41851,0.45169,0.28032,1.34681,1.77693,1.46383,0.000975773,0.000975773,0.000975773
5,4048.95,1.35958,1.45147,1.28906,0.68821,0.40626,0.45641,0.2894,1.32023,1.67455,1.44505,0.000957205,0.000957205,0.000957205
6,4851.07,1.33981,1.3992,1.27959,0.70815,0.44196,0.47312,0.30371,1.3007,1.61018,1.42654,0.000933683,0.000933683,0.000933683
7,5654.45,1.31782,1.34806,1.26572,0.7238,0.45208,0.49906,0.32012,1.2772,1.51355,1.41121,0.000905463,0.000905463,0.000905463
8,6456.77,1.29897,1.30257,1.25255,0.70041,0.4475,0.50531,0.3288,1.25747,1.48015,1.40505,0.000872857,0.000872857,0.000872857
9,7258.25,1.28228,1.26829,1.24475,0.73946,0.46238,0.50535,0.32991,1.25607,1.45457,1.40526,0.00083622,0.00083622,0.00083622
10,8060.21,1.26793,1.2335,1.23382,0.73404,0.47235,0.52231,0.34182,1.23305,1.3967,1.38014,0.000795954,0.000795954,0.000795954
11,8864.02,1.25725,1.20849,1.22589,0.75104,0.47412,0.52575,0.34953,1.21618,1.35747,1.36336,0.0007525,0.0007525,0.0007525
12,9666.26,1.24338,1.17844,1.22174,0.77635,0.48008,0.53684,0.35929,1.21336,1.33242,1.36922,0.000706335,0.000706335,0.000706335
13,10467.6,1.23646,1.15815,1.21141,0.76131,0.50133,0.55675,0.37132,1.19824,1.28729,1.34612,0.000657963,0.000657963,0.000657963
14,11268.6,1.22998,1.14849,1.20925,0.76446,0.50031,0.56359,0.37627,1.18166,1.26542,1.33584,0.000607916,0.000607916,0.000607916
15,12072.2,1.20665,1.10908,1.19512,0.76028,0.51006,0.55728,0.37548,1.17875,1.2459,1.33153,0.000556742,0.000556742,0.000556742
16,12872.6,1.19905,1.09288,1.18872,0.7784,0.50431,0.56182,0.38228,1.16607,1.23448,1.32034,0.000505,0.000505,0.000505
17,13673.7,1.18884,1.06977,1.18319,0.77639,0.51227,0.5677,0.38359,1.17274,1.21785,1.33265,0.000453258,0.000453258,0.000453258
18,14482.1,1.18148,1.05557,1.17929,0.69749,0.51725,0.57187,0.38951,1.15499,1.20225,1.31239,0.000402084,0.000402084,0.000402084
19,15286.3,1.17108,1.03862,1.17316,0.79005,0.51677,0.58908,0.40206,1.14428,1.17781,1.30347,0.000352037,0.000352037,0.000352037
20,16087.6,1.16214,1.02302,1.17048,0.78443,0.52053,0.5864,0.40221,1.1382,1.16554,1.29877,0.000303665,0.000303665,0.000303665
21,16895.5,1.12514,0.9653,1.17039,0.79815,0.51124,0.58449,0.40153,1.1388,1.15394,1.29633,0.0002575,0.0002575,0.0002575
22,17688.2,1.11202,0.93691,1.1631,0.78846,0.52386,0.58954,0.40484,1.12879,1.13766,1.28868,0.000214046,0.000214046,0.000214046
23,18536.9,1.10308,0.91665,1.15854,0.72354,0.52496,0.59967,0.41172,1.12994,1.12614,1.28916,0.00017378,0.00017378,0.00017378
24,19324.3,1.08552,0.89766,1.15163,0.71776,0.52853,0.59028,0.40945,1.12455,1.12379,1.28514,0.000137143,0.000137143,0.000137143
25,20136.2,1.07775,0.87959,1.14246,0.72934,0.52512,0.59793,0.41513,1.11947,1.11618,1.28077,0.000104537,0.000104537,0.000104537
26,20941.2,1.07332,0.86988,1.14047,0.73987,0.52005,0.59875,0.41675,1.11639,1.11504,1.28101,7.63174e-05,7.63174e-05,7.63174e-05
27,21759.8,1.06898,0.86573,1.13933,0.74868,0.51304,0.59545,0.4137,1.11372,1.11493,1.27896,5.2795e-05,5.2795e-05,5.2795e-05
28,22550.8,1.06375,0.85564,1.13596,0.72384,0.52781,0.60125,0.4168,1.11308,1.11071,1.27542,3.4227e-05,3.4227e-05,3.4227e-05
29,23341.7,1.06198,0.85516,1.13707,0.74899,0.51611,0.60246,0.41792,1.11205,1.10726,1.27489,2.08169e-05,2.08169e-05,2.08169e-05
30,24132.9,1.05941,0.84609,1.13161,0.73183,0.52557,0.60364,0.41912,1.11082,1.10542,1.27504,1.27117e-05,1.27117e-05,1.27117e-05
