epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,573.115,1.60043,2.51757,1.44273,0.52539,0.44836,0.45177,0.23497,1.60595,1.88711,1.42482,0.0700138,0.0033318,0.0033318
2,1124.45,1.50936,1.72164,1.3824,0.56301,0.51501,0.51662,0.28386,1.45504,1.7609,1.34322,0.0399478,0.00659915,0.00659915
3,1672.67,1.51966,1.63636,1.387,0.57367,0.51333,0.52708,0.27597,1.58426,1.60009,1.42859,0.0098158,0.0098005,0.0098005
4,2220.72,1.50562,1.55907,1.38062,0.67174,0.54074,0.60163,0.34118,1.43676,1.46106,1.35844,0.009703,0.009703,0.009703
5,2769.86,1.4675,1.44378,1.35755,0.70011,0.5651,0.62839,0.36153,1.40118,1.35213,1.33183,0.009604,0.009604,0.009604
6,3319.66,1.42779,1.37444,1.34183,0.68479,0.60518,0.64605,0.36674,1.42285,1.29779,1.33744,0.009505,0.009505,0.009505
7,3868.59,1.41005,1.32897,1.32353,0.72732,0.59904,0.6764,0.40318,1.33607,1.21886,1.29026,0.009406,0.009406,0.009406
8,4416.82,1.38038,1.2719,1.30588,0.75292,0.61982,0.7006,0.42604,1.29901,1.15475,1.27339,0.009307,0.009307,0.009307
9,4965.29,1.36744,1.24042,1.29965,0.74575,0.63686,0.71039,0.4361,1.30307,1.12555,1.26885,0.009208,0.009208,0.009208
10,5512.87,1.3498,1.20802,1.28537,0.76498,0.63088,0.713,0.44828,1.2525,1.09922,1.24225,0.009109,0.009109,0.009109
11,6060.78,1.33565,1.18226,1.27393,0.74501,0.66052,0.72277,0.45921,1.26339,1.06916,1.24367,0.00901,0.00901,0.00901
12,6609.3,1.32469,1.15816,1.27226,0.76136,0.66995,0.73808,0.47298,1.23741,1.03754,1.22857,0.008911,0.008911,0.008911
13,7157.08,1.31119,1.14125,1.25764,0.76612,0.66668,0.74415,0.47943,1.21193,1.03175,1.20993,0.008812,0.008812,0.008812
14,7710.64,1.30356,1.12904,1.2535,0.79293,0.66404,0.75194,0.4814,1.22743,1.0089,1.209,0.008713,0.008713,0.008713
15,8269.76,1.30024,1.12007,1.24708,0.79881,0.67408,0.76177,0.49365,1.19362,0.98124,1.20379,0.008614,0.008614,0.008614
16,8818.18,1.29015,1.10159,1.23805,0.77509,0.6836,0.75492,0.4933,1.19714,0.98305,1.19605,0.008515,0.008515,0.008515
17,9366.25,1.27985,1.08913,1.23575,0.78574,0.67828,0.76087,0.49916,1.17992,0.96928,1.1868,0.008416,0.008416,0.008416
18,9919.24,1.2796,1.08392,1.23498,0.79288,0.68905,0.77045,0.5097,1.16878,0.94529,1.17867,0.008317,0.008317,0.008317
19,10470.2,1.26872,1.06436,1.22347,0.78619,0.69882,0.77482,0.51957,1.14848,0.9306,1.16863,0.008218,0.008218,0.008218
20,11022.2,1.26352,1.05423,1.21955,0.80641,0.68922,0.77833,0.52205,1.14671,0.91931,1.16472,0.008119,0.008119,0.008119
21,11575,1.25653,1.05225,1.21695,0.80766,0.69716,0.78378,0.53067,1.13574,0.90999,1.15943,0.00802,0.00802,0.00802
22,12127.5,1.25999,1.04667,1.21595,0.81773,0.69744,0.78577,0.53056,1.13805,0.89849,1.15413,0.007921,0.007921,0.007921
23,12680.1,1.24572,1.02918,1.20898,0.80921,0.70855,0.7887,0.52929,1.14383,0.89359,1.15595,0.007822,0.007822,0.007822
24,13231.8,1.24142,1.02289,1.20432,0.80652,0.71367,0.79229,0.53649,1.12861,0.88399,1.14892,0.007723,0.007723,0.007723
25,13784.8,1.24492,1.01785,1.20683,0.81844,0.70789,0.79657,0.54146,1.12382,0.8768,1.14508,0.007624,0.007624,0.007624
26,14337.6,1.2394,1.00919,1.2038,0.81117,0.72206,0.79937,0.54667,1.11405,0.86708,1.13703,0.007525,0.007525,0.007525
27,14890.3,1.2337,1.00604,1.19891,0.82112,0.7176,0.79988,0.5482,1.10952,0.86514,1.13723,0.007426,0.007426,0.007426
28,15443.5,1.22842,0.99409,1.19852,0.80994,0.72758,0.80221,0.55366,1.09997,0.85562,1.13195,0.007327,0.007327,0.007327
29,15996.8,1.22471,0.98816,1.19289,0.81074,0.72372,0.80245,0.55438,1.09404,0.85357,1.13031,0.007228,0.007228,0.007228
30,16550,1.22176,0.98543,1.19076,0.80739,0.73183,0.80628,0.55725,1.09764,0.84376,1.12758,0.007129,0.007129,0.007129
31,17103.3,1.21353,0.97834,1.1862,0.82549,0.72549,0.80855,0.56043,1.09138,0.84067,1.12489,0.00703,0.00703,0.00703
32,17656.7,1.21493,0.96924,1.18683,0.8216,0.72887,0.8097,0.56216,1.08479,0.83356,1.12215,0.006931,0.006931,0.006931
33,18210.8,1.21171,0.96721,1.1803,0.82693,0.72602,0.81179,0.56575,1.08076,0.8249,1.11752,0.006832,0.006832,0.006832
34,18764.9,1.2093,0.9608,1.18085,0.82165,0.73308,0.81223,0.56463,1.07939,0.82244,1.11683,0.006733,0.006733,0.006733
35,19318,1.20349,0.95741,1.17725,0.82152,0.73333,0.81306,0.56994,1.07703,0.81847,1.11285,0.006634,0.006634,0.006634
36,19871.2,1.20627,0.95626,1.17723,0.82757,0.73546,0.81669,0.57012,1.07861,0.81458,1.1157,0.006535,0.006535,0.006535
37,20423.8,1.19803,0.94909,1.17483,0.83987,0.72973,0.81772,0.57169,1.0738,0.81263,1.11142,0.006436,0.006436,0.006436
38,20977,1.19558,0.93948,1.17064,0.82985,0.73208,0.81805,0.57316,1.07213,0.80697,1.10996,0.006337,0.006337,0.006337
39,21530,1.19636,0.94525,1.1749,0.83135,0.73406,0.82026,0.57409,1.06934,0.8024,1.10817,0.006238,0.006238,0.006238
40,22082.8,1.19236,0.93811,1.16917,0.83378,0.73586,0.82097,0.57631,1.06693,0.80014,1.10689,0.006139,0.006139,0.006139
41,22635.4,1.18843,0.93167,1.16682,0.83913,0.73818,0.82286,0.57778,1.06345,0.79549,1.10498,0.00604,0.00604,0.00604
42,23187.7,1.18332,0.92382,1.16647,0.83934,0.73755,0.82328,0.57958,1.06192,0.79281,1.10378,0.005941,0.005941,0.005941
43,23739.4,1.18136,0.92274,1.16341,0.82987,0.74041,0.8242,0.58122,1.05991,0.78819,1.10247,0.005842,0.005842,0.005842
44,24291.8,1.17712,0.9209,1.16259,0.83413,0.7396,0.82543,0.58231,1.05883,0.78596,1.10246,0.005743,0.005743,0.005743
45,24844.5,1.17799,0.92105,1.15904,0.83128,0.74254,0.8256,0.58252,1.05704,0.78346,1.10091,0.005644,0.005644,0.005644
46,25396.8,1.1799,0.91481,1.15771,0.83256,0.74339,0.82663,0.5838,1.05798,0.78157,1.1012,0.005545,0.005545,0.005545
47,25949.9,1.17475,0.91465,1.15955,0.83449,0.74354,0.82696,0.58518,1.05678,0.77917,1.09991,0.005446,0.005446,0.005446
48,26501.6,1.17156,0.90691,1.15457,0.83742,0.74314,0.82898,0.5863,1.05479,0.77648,1.09847,0.005347,0.005347,0.005347
49,27054.5,1.16653,0.89725,1.15385,0.83767,0.74192,0.82934,0.58677,1.05271,0.77396,1.09704,0.005248,0.005248,0.005248
50,27607.1,1.16285,0.90174,1.15149,0.8403,0.74119,0.83048,0.58867,1.05054,0.77232,1.09539,0.005149,0.005149,0.005149
51,28160.4,1.16126,0.88964,1.15001,0.83268,0.74435,0.83065,0.58916,1.04872,0.77189,1.09391,0.00505,0.00505,0.00505
52,28712.7,1.16198,0.89061,1.14892,0.82905,0.74698,0.83112,0.58967,1.04819,0.77172,1.093,0.004951,0.004951,0.004951
53,29265.4,1.16246,0.88858,1.14986,0.83055,0.74839,0.83197,0.59018,1.04731,0.77069,1.09242,0.004852,0.004852,0.004852
54,29817.5,1.1612,0.88933,1.15036,0.82851,0.74996,0.83212,0.59076,1.04591,0.76935,1.09186,0.004753,0.004753,0.004753
55,30369.7,1.15562,0.88242,1.14857,0.83459,0.74794,0.83187,0.5917,1.0457,0.76868,1.09165,0.004654,0.004654,0.004654
56,30920.7,1.15209,0.87724,1.14313,0.83881,0.74532,0.83232,0.59207,1.0443,0.76763,1.09054,0.004555,0.004555,0.004555
57,31472.8,1.1513,0.88029,1.14577,0.84068,0.74518,0.83294,0.59332,1.04309,0.76559,1.0898,0.004456,0.004456,0.004456
